"TID","TR"
"TID_THOR_BIBI_SKIN_SHOP","THOR BIBI"
"TID_ODIN_CORDELIUS_SKIN","ODIN\nCORDELIUS"
"TID_ODIN_CORDELIUS_SKIN_SHOP","ODIN\nCORDELIUS"
"TID_LOKI_CHESTER_SKIN","LOKI CHESTER"
"TID_LOKI_CHESTER_SKIN_SHOP","LOKI CHESTER"
"TID_SKADI_JESSIE_SKIN","SKADI JESSIE"
"TID_SKADI_JESSIE_SKIN_SHOP","SKADI JESSIE"
"TID_SIF_MELODIE_SKIN","SIF MELODIE"
"TID_SIF_MELODIE_SKIN_SHOP","SIF MELODIE"
"TID_MECHA_COLT_SKIN","MEKA COLT"
"TID_MECHA_COLT_SKIN_SHOP","MEKA COLT"
"TID_PARAGON_MECHA_COLT_SKIN","KUSURSUZ MEKA\nCOLT"
"TID_PARAGON_MECHA_COLT_SKIN_SHOP","KUSURSUZ MEKA\nCOLT"
"TID_RENEGADE_MECHA_COLT_SKIN","HAİN MEKA\nCOLT"
"TID_RENEGADE_MECHA_COLT_SKIN_SHOP","HAİN MEKA\nCOLT"
"TID_MECHA_LEON_SKIN","MEKA LEON"
"TID_MECHA_LEON_SKIN_SHOP","MEKA LEON"
"TID_RADIANT_MECHA_LEON_SKIN","PARLAK MEKA\nLEON"
"TID_RADIANT_MECHA_LEON_SKIN_SHOP","PARLAK MEKA\nLEON"
"TID_SHADOW_MECHA_LEON_SKIN","GÖLGE MEKA\nLEON"
"TID_SHADOW_MECHA_LEON_SKIN_SHOP","GÖLGE MEKA\nLEON"
"TID_FANGIRL_CONY_SKIN","SIKI HAYRAN CONY"
"TID_FANGIRL_CONY_SKIN_SHOP","SIKI HAYRAN CONY"
"TID_BALLOON_SALLY_SKIN","BALON SALLY"
"TID_BALLOON_SALLY_SKIN_SHOP","BALON SALLY"
"TID_ROCKET_BROWN_SKIN","ROKET BROWN"
"TID_ROCKET_BROWN_SKIN_SHOP","ROKET BROWN"
"TID_POOP_SPIKE_SKIN","KAKA SPIKE"
"TID_POOP_SPIKE_SKIN_SHOP","KAKA SPIKE"
"TID_EL_BABY_SHARK_SKIN","EL MİNİK KÖPEKBALIĞI"
"TID_EL_BABY_SHARK_SKIN_SHOP","EL MİNİK KÖPEKBALIĞI"
"TID_SQUEAKY_NOTE_SKIN","YAPIŞKAN NOT SQUEAK"
"TID_SQUEAKY_NOTE_SKIN_SHOP","YAPIŞKAN NOT SQUEAK"
"TID_RED_PITCHER_FANG_SKIN","KIRMIZILI ATICI\nFANG"
"TID_RED_PITCHER_FANG_SKIN_SHOP","KIRMIZILI ATICI\nFANG"
"TID_BLUE_PITCHER_FANG_SKIN","MAVİLİ ATICI\nFANG"
"TID_BLUE_PITCHER_FANG_SKIN_SHOP","MAVİLİ ATICI\nFANG"
"TID_ELF_ANGELO_SKIN","ELF ANGELO"
"TID_ELF_ANGELO_SKIN_SHOP","ELF ANGELO"
"TID_TRUE_GOLD_MAISIE_SKIN","SAF ALTIN MAISIE"
"TID_TRUE_GOLD_MAISIE_SKIN_SHOP","SAF ALTIN\nMAISIE"
"TID_TRUE_SILVER_MAISIE_SKIN","SAF GÜMÜŞ MAISIE"
"TID_TRUE_SILVER_MAISIE_SKIN_SHOP","SAF GÜMÜŞ\nMAISIE"
"TID_TRUE_GOLD_PEARL_SKIN","SAF ALTIN PEARL"
"TID_TRUE_GOLD_PEARL_SKIN_SHOP","SAF ALTIN\nPEARL"
"TID_TRUE_SILVER_PEARL_SKIN","SAF GÜMÜŞ PEARL"
"TID_TRUE_SILVER_PEARL_SKIN_SHOP","SAF GÜMÜŞ\nPEARL"
"TID_TRUE_GOLD_R-T_SKIN","SAF ALTIN R-T"
"TID_TRUE_GOLD_R-T_SKIN_SHOP","SAF ALTIN\nR-T"
"TID_TRUE_SILVER_R-T_SKIN","SAF GÜMÜŞ R-T"
"TID_TRUE_SILVER_R-T_SKIN_SHOP","SAF GÜMÜŞ\nR-T"
"TID_TRUE_GOLD_CORDELIUS_SKIN","SAF ALTIN CORDELIUS"
"TID_TRUE_GOLD_CORDELIUS_SKIN_SHOP","SAF ALTIN\nCORDELIUS"
"TID_TRUE_SILVER_CORDELIUS_SKIN","SAF GÜMÜŞ CORDELIUS"
"TID_TRUE_SILVER_CORDELIUS_SKIN_SHOP","SAF GÜMÜŞ\nCORDELIUS"
"TID_TRUE_GOLD_DOUG_SKIN","SAF ALTIN DOUG"
"TID_TRUE_GOLD_DOUG_SKIN_SHOP","SAF ALTIN\nDOUG"
"TID_TRUE_SILVER_DOUG_SKIN","SAF GÜMÜŞ DOUG"
"TID_TRUE_SILVER_DOUG_SKIN_SHOP","SAF GÜMÜŞ\nDOUG"
"TID_OVERCHARGE_EVENT_FREE_HYPERCHARGE","ÜCRETSİZ HİPERŞARJ!"
"TID_OVERCHARGE_EVENT_SHOWDOWN_DESC","Hesaplaşma + hiper hediyeler!"
"TID_RANKED_CLASSIC_MOD_DESC","Klasik maçlar, herhangi bir etken olmayan maçlardır."
"TID_EVENT_MODIFIER_33","HER ZAMAN HİPERŞARJLI"
"TID_EVENT_MODIFIER_DESC_33","Hiperşarjlı tüm savaşçıların hiperşarjları her zaman etkindir."
"TID_HINT_66","Supercell ID güvenlik kodlarınızı asla paylaşmayın! Hesabınızı dolandırıcılardan koruyun."
"TID_SHOP_STARR_DROP_RANKED","AŞAMALI STARR HEDİYESİ"
"TID_SURVIVAL_542","Çöl Filizleri"
"TID_INBOX_CAPTION_RANKED_STARR_DROP_DONATION","<NUM> Aşamalı Starr Hediyesi Bağışı"
"TID_RANKED_DIAMOND_FORMAT_TOOLTIP","Yeni aşamalı formatına ulaşıldı! Oyuncular seçimden önce bir savaşçıyı <cF01A1A>YASAKLAYACAK</c>."
"TID_GAME_MODE_35","NAKAVT 5'E 5"
"TID_NEW_FRAME_UNLOCKED","Yeni <RANK> savaş kartı!"
"TID_HYPERCHARGE_UNLEASHED_SHOWDOWN_DESC","Daha hızlı hiperşarj dolumu ve hiper hediyeler!"
"TID_REPORTED_PLAYER_NOTIFICATION","Şikayet ettiğin oyunculardan biri hakkında işlem yapıldı."
"TID_BRAWLBALL_5V5_4","Pantolon Askısı"
"TID_WANTED_5V5_4","Nehir Geçidi"
"TID_GEMGRAB_5V5_5","Elmas Kanalları"
"TID_SANDSTORM_OVERCHARGE_DESC","Sandy, kum fırtınası içindeyken kendine ve dostlarına <c00cc00> %<VALUE1></c> hareket hızı kazandırır. Süper saldırısı da düştüğü yerde düşmanları <c00cc00><VALUE2></c> saniyeliğine sessizleştirir."
"TID_SHAMAN_OVERCHARGE_DESC","Nita, Bruce'u güçlendirerek büyümesini sağlar. Ona ekstra <c00cc00>%<VALUE3></c> hareket hızı ve <c00cc00>%<VALUE1></c> sağlık kazandırır."
"TID_SANDSTORM_OVERCHARGE","HIZLI RÜZGARLAR"
"TID_SHAMAN_OVERCHARGE","ÜSTÜN KUVVET"
"TID_CLUSTERBOMBDUDE_OVERCHARGE","İNATÇI"
"TID_CLUSTERBOMBDUDE_OVERCHARGE_DESC","Tick'in hızla attığı kafası düşmanlara daha hızlı hücum eder ve patladığı zaman <VALUE1> minimayın bırakır."
"TID_ROCKETGIRL_OVERCHARGE","ROKET YAĞMURU"
"TID_ROCKETGIRL_OVERCHARGE_DESC","Süper saldırısında attığı roketler misket bombasına dönüşür."
"TID_SPEEDY_OVERCHARGE","SINIRSIZ ENERJİ"
"TID_SPEEDY_OVERCHARGE_DESC","Max her takım üyesine bir enerji içeceği fırlatarak takım üyelerinin hareket hızını artırır ve süper saldırılarını %25 doldurur."
"TID_HOOKDUDE_OVERCHARGE","HİPER EL"
"TID_HOOKDUDE_OVERCHARGE_DESC","Gene'in süper yeteneği üç farklı ele ayrılır. Bunların her biri bir düşmanı tutabilir. İlki ileri giderken diğer ikisi çapraz ilerler."
"TID_EVENT_MODIFIER_34","TAZE KAN"
"TID_EVENT_MODIFIER_DESC_34","Savaşçılar yok edildikleri yerde canlanır."
"TID_EVENT_MODIFIER_35","ANINDA ÖLÜM"
"TID_EVENT_MODIFIER_DESC_35","Hedefe isabet eden tüm temel saldırılar ilgili savaşçıyı anında yok eder."
"TID_DRAGON_RIDER","DRACO"
"TID_DRAGON_RIDER_SHORT_DESC","Uzaktan saldırı yapar, dönüşür ve savaş alanına hükmeder."
"TID_DRAGON_RIDER_DESC","Draco, şişme ejderhası ve havai fişekleriyle geceleri muhteşem gösteriler sergilemeye hazır. Elektro gitarı ve ejderhasının alevleri sayesinde bir fantezi dünyası yaratarak tüm izleyenleri büyülüyor."
"TID_DRAGON_RIDER_WEAPON","MIZRAK HÜCUMU"
"TID_DRAGON_RIDER_WEAPON_DESC","Draco mızrağıyla ileri atılarak önündeki düşmanları delip geçer ve onlara hasar verir. Maksimum menzilde daha fazla hasar verir."
"TID_DRAGON_RIDER_ULTI","EJDERHA SALDIRISI"
"TID_DRAGON_RIDER_ULTI_DESC","Draco alev soluyan ejderhasına biner, hareket hızı artar ve aldığı hasar azalır."
"TID_DRAGON_RIDER_SP_1","İŞARETLE"
"TID_DRAGON_RIDER_SP_1_DESC","Her <c00cc00><VALUE1></c> saniyede bir, mızrak hücumuyla hasar verdiği düşmanları zayıflatır. Zayıflayan düşmanlar <c00cc00><VALUE3></c> saniye boyunca <c00cc00>%<VALUE2></c> daha fazla hasar alır."
"TID_DRAGON_RIDER_SP_2","PARÇALA"
"TID_DRAGON_RIDER_SP_2_DESC","Ejderha saldırısı kullanıldığında Draco'yu <c00cc00><VALUE1></c> puan iyileştirir."
"TID_DRAGON_RIDER_GADGET_1","YUKARI VURUŞ"
"TID_DRAGON_RIDER_GADGET_1_DESC","Bir sonraki mızrak hücumu, düşmanları kısa bir süreliğine savurur."
"TID_DRAGON_RIDER_GADGET_2","SON SAVUNMA"
"TID_DRAGON_RIDER_GADGET_2_DESC","Draco, <c00cc00><VALUE1></c> saniyeliğine bir sağlık puanının altına düşemez."
"TID_HERO_SORTING_NAME","Ad"
"TID_HERO_SORTING_UPDATED","Yeni"
"TID_HERO_SORTING_HAS_NEW_STUFF","Yeni açılacaklar var"
"TID_EVENT_MODIFIER_36","WASABI GÜÇLERİ"
"TID_EVENT_MODIFIER_DESC_36","Bu modda wasabi güçleri etkin"
"TID_MUTATION_BEA_DESC","Bea, hasar verirken kızgın bir arı salar."
"TID_MUTATION_LOLA_DESC","Süperiyle bir Ego daha çağırır. Yoksa bu onun ilkel benliği mi?"
"TID_MUTATION_ANGELO_DESC","Temel saldırısında üç ok atar."
"TID_MUTATION_NITA_DESC","Bir seferde iki Bruce çağırır."
"TID_MUTATION_PENNY_DESC","Süperiyle iki top bırakır."
"TID_MUTATION_STU_DESC","Süperi sırasındaki her güçlendirmede etrafında her yöne ateş eder."
"TID_MUTATION_GRIFF_DESC",""
"TID_MUTATION_MAX_DESC","Sınırsız cephane. O kadar."
"TID_MUTATION_TICK_DESC","Süperiyle üç kafa fırlatır. Nasıl olduğunu sorma."
"TID_MUTATION_FRANK_DESC","Sağlığı ve hareket hızı artar. Saldırıları siperleri yok eder."
"TID_MUTATION_SPIKE_DESC","Kaktüs bombalarının dikenleri daha uzağa ve daha kavisli gider."
"TID_MUTATION_GALE_DESC","Gale'in kutup girdabı özelliği daha geniş bir alanı etkiler."
"TID_MUTATION_SHELLY_DESC","Süperini etrafında daire çizerek ateşler. Üstelik DAHA FAZLA saçma atar."
"TID_MUTATION_CROW_DESC","Temel saldırıları bumerang şeklinde geri döner."
"TID_MUTATION_BO_DESC","Tek seferde sınırsız mayın bırakabilir."
"TID_MUTATION_CARL_DESC","Süperi boyunca hareket hızı aşırı derecede artar."
"TID_MUTATION_MELODY_DESC",""
"TID_MUTATION_POCO_DESC","Hasar aldığında iyileştiren Akort Cihazı aksesuarını etkinleştirir."
"TID_MUTATION_BROCK_DESC","Roketler arkasında büyük alevler bırakır."
"TID_MUTATION_MEG_DESC","Temel saldırının menzili artar."
"TID_MUTATION_COLT_DESC","Temel saldırısı daha uzağa ulaşır ve siperleri yok eder."
"TID_MUTATION_SPROUT_DESC","Temel saldırısı her sektiğinde alan hasarı verir."
"TID_MUTATION_RUFFS_DESC","Temel saldırısında ekstra bir mermi atar ve mermiler daha uzun süre seker."
"TID_MUTATION_GRAY_DESC","Boyutlar arası kapılar, Gray her girdiğinde düşmanları kendine çeker."
"TID_MUTATION_SQUEAK_DESC",""
"TID_MUTATION_SURGE_DESC","Sadece bir süperle 3. aşamaya ulaşır ve doldurma hızı artar."
"TID_MUTATION_MANDY_DESC",""
"TID_MUTATION_PRIMO_DESC","Süperini kullanarak sıçradığında daha uzağa gider ve süperini daha hızlı doldurur."
"TID_MUTATION_HANK_DESC","Her hasar aldığında balık torpidoları ateşler."
"TID_MUTATION_EMZ_DESC",""
"TID_MUTATION_MICO_DESC",""
"TID_MUTATION_EDGAR_DESC","Süperinin menzili artar ve daha hızlı zıplar."
"TID_MUTATION_ROSA_DESC","Temel saldırısıyla bir çalı çıkarır ve çalılarda saklanan düşmanları takım arkadaşları için görünür yapar."
"TID_MUTATION_RICO_DESC","Daha fazla seken mermi mi? Evet, daha fazla seken mermi."
"TID_MUTATION_PAM_DESC","Pam'in iyileştiren tareti artık fazladan iyileştirebilir."
"TID_MUTATION_EVE_DESC","Her hasar aldığında bir yavru çağırır."
"TID_MUTATION_BONNIE_DESC",""
"TID_MUTATION_LEON_DESC","Süperi artık saldırabilen illüzyonlar yaratır."
"TID_MUTATION_ASH_DESC","Süperi daha hızlı dolar ve daha fazla fare çağırır."
"TID_MUTATION_PIPER_DESC","Her temel saldırıda iki mermi ateşler."
"TID_MUTATION_JANET_DESC",""
"TID_MUTATION_AMBER_DESC","Temel saldırısında bir yerine iki şeritten ateş eder ve hareket halindeyken yanıcı sıvısını döker."
"TID_MUTATION_BUZZ_DESC","Buzz'ın sağlığı artar, torpido atışının menzili uzar ve süper özelliği daha hızlı dolar!"
"TID_MUTATION_DYNAMIKE_DESC",""
"TID_MUTATION_JACKY_DESC",""
"TID_MUTATION_GROM_DESC",""
"TID_MUTATION_TWINS_DESC",""
"TID_MUTATION_BELLE_DESC","Temel saldırısı isabet ettiğinde bölünür."
"TID_MUTATION_FOUND","Wasabi gücü süresi:\n<TIME>"
"TID_MUTATION_NOT_FOUND","WASABİ GÜCÜ BULUNAMADI"
"TID_SKIN_INFO_GODZILLA","GODZILLA"
"TID_SKIN_INFO_HACKER","SİBER SAVAŞ"
"TID_SKIN_INFO_SQUAD","SQUAD BUSTERS"
"TID_SKIN_INFO_MAXFORCE","MAKS. GÜÇ"
"TID_COLLAB_1","GODZILLA"
"TID_COLLAB_1_LEADERBOARD_TAB","GODZILLA"
"TID_COLLAB_1_LEADERBOARD_TITLE","Canavar Yumurtası Katkısı"
"TID_COLLAB_1_LEADERBOARD_SCORE","CANAVAR YUMURTALARI"
"TID_INFO_MUTANTS_MODIFIER","Mutasyonların etkin olduğu modlarda kullanılabilir."
"TID_TITLE_MUTATIONS_INFO_POPUP","MUTASYONLAR"
"TID_DESCRIPTION_MUTATIONS_INFO_POPUP","Geçici mutasyonunu görmek için savaşçıya dokun."
"TID_BUY_MUTATIONS_INFO_POPUP","<cCEFF00>YUMURTALARI AÇARAK</c> geçici mutasyon bulabilirsin!"
"TID_TIMER_MUTATIONS","<cCEFF00>Kalan</c> süre: <TIMER>"
"TID_GET_MORE_EGGS","YUMURTA AL"
"TID_NUMBER_OF_MUTATIONS_FOUND","<cCEFF00><CURRENT></c>/<TOTAL> bulundu"
"TID_AMBUSHER","LILY"
"TID_AMBUSHER_SHORT_DESC","Yakına girmek için çalıları ve süper özelliğini kullanır."
"TID_AMBUSHER_DESC","Cadılıkla ilgili her şeye çok meraklı, çalışkan bir öğrenci olan Lily'nin bilgiye olan açlığı bir keresinde yolunun Sihirli Orman'a düşmesine neden olmuş. Orada bir ateş böceği ve etobur bir bitkiyle yaşadığı olaylar hayatını sonsuza dek değiştirmiş..."
"TID_AMBUSHER_WEAPON","BAŞ BELASI"
"TID_AMBUSHER_WEAPON_DESC","Lily, dikenleriyle ileriye doğru saldırır ve hasar verir."
"TID_AMBUSHER_ULTI","SİHİRLİ TOHUM"
"TID_AMBUSHER_ULTI_DESC","Düz bir çizgide bir tohum fırlatır. Fırlattığı tohum bir düşmana isabet ederse Lily bu düşmanın arkasına ışınlanır."
"TID_AMBUSHER_SP_1","DİKENLİ"
"TID_AMBUSHER_SP_1_DESC","Bir düşmana ışınlandıktan sonraki saldırısı ekstra <c00cc00><VALUE1></c> hasar verir."
"TID_AMBUSHER_SP_2","DİKKATLİ"
"TID_AMBUSHER_SP_2_DESC","Bir düşman süper dolum menzilinde olduğunda <c00cc00>%<!card.statuseffect.baseSpeedIncreasePercent></c> hareket hızı kazanır."
"TID_AMBUSHER_GADGET_1","KAYBOLUŞ"
"TID_AMBUSHER_GADGET_1_DESC","Lily, <c00cc00><VALUE1></c> saniyeliğine gölge alemine girer."
"TID_AMBUSHER_GADGET_2","SAKSI DEĞİŞİMİ"
"TID_AMBUSHER_GADGET_2_DESC","Bir sonraki sihirli tohum, fırlatılan bir saldırıya dönüşür. Lily, tohumun düştüğü yere ışınlanır."
"TID_AMBUSHER_OVERCHARGE","ÇİMLENME"
"TID_AMBUSHER_OVERCHARGE_DESC","Lily'nin sihirli tohumu artık duvarların üzerinden zıplayabilir ve düşman ile Lily'yi <c00cc00><VALUE1></c> saniyeliğine gölge alemine ışınlar."
"TID_COLLAB_EVENT_SLOT_TIME_LEFT","Kalan süre: <TIME>"
"TID_COLLAB_EVENT_SLOT_TIME_UNTIL_FIRST","Gelmesine: <TIME>"
"TID_COLLAB_EVENT_SLOT_TIME_UNTIL_NEXT","Sıradakine: <TIME>"
"TID_SHOP_OFFER_TITLE_53","YUMURTALAR"
"TID_SHOP_OFFER_INFO_53","Her yumurta <cDFFF02>geçici mutasyon</c> da olabilen rastgele bir ödül içerir."
"TID_SHOP_INFO_COLLAB_DROP_POPOVER_DESC","Rastgele ödül şanslarını destek sitemizde bulabilirsin."
"TID_SHOP_INFO_COLLAB_DROP_POPOVER_BUTTON","BAŞLA"
"TID_HERO_SCORE_INFO_LEADERBOARD_BUTTON","LİDERLİK TABLOLARI"
"TID_COLLAB_MILESTONE_CLAIM_BUTTON","AL"
"TID_COLLAB_MILESTONE_CLAIM_DESC","EŞİĞE ULAŞILDI!"
"TID_NOTIFICATION_CLUB_COLLAB_REWARD","Kulübün, kulüp etkinliğinde <MILESTONE> puana ulaştığı için bir ödül aldı!"
"TID_NOTIFICATION_CLUB_COLLAB_EVENT_END","Kulüp etkinliği bitti. Kulübün için <WINS> zafer kazandın!"
"TID_CLUB_COLLAB_HOMESCREEN_TICKET_TOOLTIP","Kulüp etkinliği için kalan biletler. Biletle kazanılan her zafer, kulübünü bir sonraki ödüle yaklaştırır!"
"TID_CLUB_COLLAB_EVENT_ENDED_TITLE","Kulüp etkinliği\nbitti!"
"TID_CLUB_COLLAB_NOT_CONTRIBUTED","Kulüp etkinliğine zafer katkısı sağlanmadı:"
"TID_CLUB_COLLAB_CONTRIBUTED_WINS","Kulüp etkinliğine zafer katkısı sağlandı:"
"TID_CLUB_COLLAB_EVENT_ENDED_SMASH_TITLE","ÖDÜLLERİNİ AL!"
"TID_CLUB_COLLAB_EVENT_BUTTON_PLAY","OYNA"
"TID_CLUB_COLLAB_EVENT_TIME","<TIME>"
"TID_CLUB_COLLAB_TEASER_TIME","<TIME>"
"TID_CLUB_COLLAB_MORE_TICKETS","Kulüp etkinliği için yeni biletler!"
"TID_CLUB_COLLAB_PROGRESS_BAR","SONRAKİ ÖDÜLE <WINS> KULÜP ZAFERİ KALDI!"
"TID_CLUB_COLLAB_LEVEL_COUNTER","TAMAMLANAN SEVİYELER: <NUM>"
"TID_CLUB_COLLAB_SKIN_LOCKED_TEXT","<WINS> kulüp zaferinde açılır"
"TID_CLUB_PIGGY_COLLAB_END_CLUB_WINS","<NUM> KULÜP ZAFERİ"
"TID_CLUB_PIGGY_SUBWAY_END_UNCOLLECTED_RAILS","<NUM> RAY TOPLANMAMIŞ"
"TID_COLLAB_GODZILLA_SLASH_IT","Parmağını\nsürükle!"
"TID_COLLAB_SKILL_REWARD_SOURCE_VICTORY","ZAFER\nÖDÜLÜ"
"TID_COLLAB_SKILL_REWARD_SOURCE_DEFEAT","YENİLGİ\nÖDÜLÜ"
"TID_COLLAB_GODZILLA_SLASH_THE_EGG","Yumurtayı Kır!"
"TID_COLLAB_EVENT_CARTON_TOOLTIP","Karton dolana veya zaman bitene kadar zaferlerin bir canavar yumurtası, yenilgilerin de bir ender Starr hediyesi kazandırır."
"TID_COLLAB_EVENT_ENDS_IN","Etkinliğin bitmesine: <TIME>"
"TID_COLLAB_AUTO_COLLECT_TITLE","Etkinlik Bitti"
"TID_COLLAB_AUTO_COLLECT_DESCRIPTION","Son etkinlik bitti. Alabileceğin ödüller var."
"TID_GAME_MODE_35_DESC","Nakavt turu yarışmasında üç maçtan ikisini kazanan galibiyet elde ediyor! Yok edilen savaşçılar turun devamında oyun dışı kalır ama geri kalan takım üyeleri seviye atlayıp güçlenir. Kısa bir süre sonra zehir bulutları kenarlardan haritaya sızmaya başlayacağı için acele etmelisin!\n\nİki turu ilk kazanan takım maçı kazanır."
"TID_GAME_MODE_36_DESC","Şehir yıkımı! Kendi binalarını korurken düşman binalarını yok et.\n\nDönüşüm jetonları toplayıp Godzilla'ya veya Mekagodzilla'ya dönüşebilirsin."
"TID_GAME_MODE_36","GODZILLA ŞEHİR YIKIMI"
"TID_GODZILLA_INTRO_TEXT","Düşman binalarını yok et!"
"TID_BUTTON_SQUAD_CROSS_PROMO","YENİ OYUN!"
"TID_ITEM_NAME_GOZILLA","MUTASYON"
"TID_SKIN_INFO_CITY","ŞEHİR SORUNLARI"
"TID_SKIN_INFO_SUMMER","SAVAŞ YAZI"
"TID_SKIN_INFO_MUSIC","MÜZİK"
"TID_SKIN_INFO_MISC","GENEL"
"TID_SKIN_INFO_ROYALS","KRALİYET"
"TID_SKIN_INFO_GAMING","OYUNCULAR"
"TID_SKIN_INFO_ANIMALS","HAYVANLAR KRALLIĞI"
"TID_MUTATION_DELIVERY_BOTTOM_RIGHT","Mutasyonların etkin olduğu modlarda kullanılabilir."
"TID_ACCESSORY_BLOCKED_MOUNTED","Ejderha üzerindeyken kullanılamaz!"
"TID_GODZILLA_BUZZ_SKIN","GODZILLA BUZZ"
"TID_GODZILLA_BUZZ_SKIN_SHOP","GODZILLA BUZZ"
"TID_RED_GODZILLA_BUZZ_SKIN","KIRMIZI\nGODZILLA BUZZ"
"TID_RED_GODZILLA_BUZZ_SKIN_SHOP","KIRMIZI\nGODZILLA BUZZ"
"TID_BLACK_GODZILLA_BUZZ_SKIN","SİYAH\nGODZILLA BUZZ"
"TID_BLACK_GODZILLA_BUZZ_SKIN_SHOP","SİYAH\nGODZILLA BUZZ"
"TID_MECHA-TICK_GHIDORAH_SKIN","MEKA TICK\nGHIDORAH"
"TID_MECHA-TICK_GHIDORAH_SKIN_SHOP","MEKA TICK\nGHIDORAH"
"TID_MECHA-TICK_GHIDORAH_DARK_SKIN","MEKA TICK\nGHIDORAH SİYAH"
"TID_MECHA-TICK_GHIDORAH_DARK_SKIN_SHOP","MEKA TICK\nGHIDORAH SİYAH"
"TID_MECHA-TICK_GHIDORAH_LIGHT_SKIN","MEKA TICK\nGHIDORAH BEYAZ"
"TID_MECHA-TICK_GHIDORAH_LIGHT_SKIN_SHOP","MEKA TICK\nGHIDORAH BEYAZ"
"TID_MECHAGODZILLA_NITA_SKIN","MEKA GODZILLA NITA"
"TID_MECHAGODZILLA_NITA_SKIN_SHOP","MEKA GODZILLA NITA"
"TID_MOTHRA_EVE_SKIN","MOTHRA EVE"
"TID_MOTHRA_EVE_SKIN_SHOP","MOTHRA EVE"
"TID_RED_RANGER_BROCK_SKIN","SÜPER RANGER BROCK KIRMIZI"
"TID_RED_RANGER_BROCK_SKIN_SHOP","SÜPER RANGER\nBROCK KIRMIZI"
"TID_BLUE_RANGER_BROCK_SKIN","SÜPER RANGER BROCK MAVİ"
"TID_BLUE_RANGER_BROCK_SKIN_SHOP","SÜPER RANGER\nBROCK MAVİ"
"TID_YELLOW_RANGER_BROCK_SKIN","SÜPER RANGER BROCK SARI"
"TID_YELLOW_RANGER_BROCK_SKIN_SHOP","SÜPER RANGER\nBROCK SARI"
"TID_PINK_RANGER_BROCK_SKIN","SÜPER RANGER BROCK PEMBE"
"TID_PINK_RANGER_BROCK_SKIN_SHOP","SÜPER RANGER\nBROCK PEMBE"
"TID_BLACK_RANGER_BROCK_SKIN","SÜPER RANGER BROCK SİYAH"
"TID_BLACK_RANGER_BROCK_SKIN_SHOP","SÜPER RANGER\nBROCK SİYAH"
"TID_HACKER_BROCK_SKIN","HACKER BROCK"
"TID_HACKER_BROCK_SKIN_SHOP","HACKER BROCK"
"TID_BEA_BYTE_SKIN","BEA BYTE"
"TID_BEA_BYTE_SKIN_SHOP","BEA BYTE"
"TID_FANGUARD_SKIN","FANGARDİYAN"
"TID_FANGUARD_SKIN_SHOP","FANGARDİYAN"
"TID_VIRUS_CHARLIE_SKIN","VİRÜS CHARLIE"
"TID_VIRUS_CHARLIE_SKIN_SHOP","VİRÜS CHARLIE"
"TID_GLITCH_LARRY_&_LAWRIE_SKIN","ARIZA\nLARRY İLE LAWRIE"
"TID_GLITCH_LARRY_&_LAWRIE_SKIN_SHOP","ARIZA\nLARRY İLE LAWRIE"
"TID_URBAN_NINJA_TARA_SKIN","ŞEHİR NİNJASI TARA"
"TID_URBAN_NINJA_TARA_SKIN_SHOP","ŞEHİR NİNJASI\nTARA"
"TID_GAMER_BIBI_SKIN","OYUNCU BIBI"
"TID_GAMER_BIBI_SKIN_SHOP","OYUNCU BIBI"
"TID_SCARLET_PALADIN_SURGE_SKIN","KIZIL ŞÖVALYE SURGE"
"TID_SCARLET_PALADIN_SURGE_SKIN_SHOP","KIZIL ŞÖVALYE\nSURGE"
"TID_BYRON_THE_WHITE_SKIN","BEYAZ\nBYRON"
"TID_BYRON_THE_WHITE_SKIN_SHOP","BEYAZ\nBYRON"
"TID_RUI_SHOU_NITA_SKIN","RUI SHOU NITA"
"TID_RUI_SHOU_NITA_SKIN_SHOP","RUI SHOU NITA"
"TID_WAVE_HOPPER_JACKY_SKIN","DALGA USTASI JACKY"
"TID_WAVE_HOPPER_JACKY_SKIN_SHOP","DALGA USTASI\nJACKY"
"TID_FILMMAKER_BUZZ_SKIN","YAPIMCI BUZZ"
"TID_FILMMAKER_BUZZ_SKIN_SHOP","YAPIMCI BUZZ"
"TID_MOON-CURSER_PENNY_SKIN","AY LANETİ PENNY"
"TID_MOON-CURSER_PENNY_SKIN_SHOP","AY LANETİ\nPENNY"
"TID_PIANO_8-BIT_SKIN","PİYANO 8-BIT"
"TID_PIANO_8-BIT_SKIN_SHOP","PİYANO 8-BIT"
"TID_BEACH_BYRON_SKIN","BYRON SAHİLDE"
"TID_BEACH_BYRON_SKIN_SHOP","BYRON SAHİLDE"
"TID_GALA_MORTIS_SKIN","GALA MORTIS"
"TID_GALA_MORTIS_SKIN_SHOP","GALA MORTIS"
"TID_PARASOL_FRANK_SKIN","ŞEMSİYE FRANK"
"TID_PARASOL_FRANK_SKIN_SHOP","ŞEMSİYE FRANK"
"TID_DARK_SAMURAI_GENE_SKIN","KARA SAMURAY\nGENE"
"TID_DARK_SAMURAI_GENE_SKIN_SHOP","KARA SAMURAY\nGENE"
"TID_NIGHTMARE_SANDY_SKIN","KABUS SANDY"
"TID_NIGHTMARE_SANDY_SKIN_SHOP","KABUS SANDY"
"TID_SQUAD_BUSTER_SHELLY_SKIN","SQUAD BUSTER\nSHELLY"
